Positive Average,Positive Standard Deviation,Negative Average,Negative Standard Deviation,Positive-to-Negative Ratio Average,Percent No Show
4.815495437810148327e-01,1.455328085684099992e-01,5.184504562189851118e-01,1.455328085684099992e-01,9.288246118885004066e-01,1.666670000000000096e-01
4.765929778933680194e-01,1.504547044685052293e-01,5.234070221066320361e-01,1.504547044685052570e-01,9.105590062111800220e-01,2.979600000000000026e-01
4.731303644731931768e-01,1.525434624820650176e-01,5.268696355268067677e-01,1.525434624820650176e-01,8.980027175035799614e-01,2.891119999999999801e-01
5.158956109134045231e-01,1.624729517182718630e-01,4.841043890865954769e-01,1.624729517182718630e-01,1.065670178877726082e+00,2.962069999999999981e-01
4.792933935166187598e-01,1.439738544056354264e-01,5.207066064833811847e-01,1.439738544056354264e-01,9.204672795560465692e-01,3.078580000000000205e-01
4.612051684579157040e-01,1.541281451809325687e-01,5.387948315420842960e-01,1.541281451809325687e-01,8.559940471921394511e-01,3.213090000000000113e-01
4.663943549990062221e-01,1.566848678193090705e-01,5.336056450009938334e-01,1.566848678193090705e-01,8.740431428496929778e-01,3.682699999999999863e-01
