Positive Average,Positive Standard Deviation,Negative Average,Negative Standard Deviation,Positive-to-Negative Ratio Average,Percent No Show
4.102385685884691324e-01,1.351847865618225064e-01,5.897614314115308121e-01,1.351847865618225064e-01,6.956008764537332523e-01,1.666670000000000096e-01
4.341120517454579719e-01,1.467770808480975409e-01,5.658879482545420281e-01,1.467770808480975409e-01,7.671342941380155933e-01,2.979600000000000026e-01
4.297017278345314772e-01,1.305312566121490658e-01,5.702982721654685783e-01,1.305312566121490658e-01,7.534684020747938193e-01,2.891119999999999801e-01
4.228038592775620885e-01,1.309912627280814534e-01,5.771961407224379670e-01,1.309912627280814534e-01,7.325133164410396747e-01,2.962069999999999981e-01
4.181467245989304859e-01,1.380709143968176789e-01,5.818532754010694585e-01,1.380709143968176789e-01,7.186463362446544600e-01,3.078580000000000205e-01
4.103967688287003535e-01,1.270123243188630013e-01,5.896032311712994245e-01,1.270123243188630013e-01,6.960558340452283055e-01,3.213090000000000113e-01
4.230763224673043110e-01,1.372450822491796396e-01,5.769236775326956890e-01,1.372450822491796396e-01,7.333315288369794960e-01,3.682699999999999863e-01
