Positive Average,Positive Standard Deviation,Negative Average,Negative Standard Deviation,Positive-to-Negative Ratio Average,Percent No Show
3.524851242562128117e-01,1.377764260800899143e-01,6.475148757437871883e-01,1.377764260800899143e-01,5.443660639476742835e-01,1.666670000000000096e-01
3.548204587825241063e-01,1.373082833210526876e-01,6.451795412174758937e-01,1.373082833210526876e-01,5.499561534653838457e-01,2.979600000000000026e-01
3.797136754988987284e-01,1.450498632737716731e-01,6.202863245011012161e-01,1.450498632737716731e-01,6.121587088096839269e-01,2.891119999999999801e-01
3.684030205565654859e-01,1.330803701169631648e-01,6.315969794434345141e-01,1.330803701169631648e-01,5.832881292136696816e-01,2.962069999999999981e-01
3.520065997332023078e-01,1.373201277338521598e-01,6.479934002667976367e-01,1.373201277338521598e-01,5.432255939462824479e-01,3.078580000000000205e-01
3.758207041268361026e-01,1.319768592530036755e-01,6.241792958731638974e-01,1.319768592530036755e-01,6.021037650745861836e-01,3.213090000000000113e-01
3.770047222846862889e-01,1.302243336932956963e-01,6.229952777153137111e-01,1.302243336932957241e-01,6.051486034810102943e-01,3.682699999999999863e-01
